Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,ET-CBN-8-180,8 Inch CBN Grinding Wheel 180 Grit,1,1,visible,"Balanced 8 inch CBN wheel for shaping and refining HSS woodturning tools.","A durable 8 inch CBN grinding wheel for woodturners who need predictable sharpening on bowl gouges, spindle gouges, scrapers, and skews. Include your grinder arbor size before ordering.",149.00,"CBN Grinding Wheels","cbn,8 inch,woodturning,sharpening",Grit,180,1,0,Diameter,8 inch,1,0
simple,ET-CBN-8-80,8 Inch CBN Grinding Wheel 80 Grit,1,1,visible,"Coarse CBN wheel for fast shaping and repair work.","Use this coarse CBN wheel for reshaping edges, repairing damaged profiles, and fast grinding on high-speed steel turning tools.",139.00,"CBN Grinding Wheels","cbn,8 inch,coarse,shaping",Grit,80,1,0,Diameter,8 inch,1,0
simple,ET-CBN-8-600,8 Inch CBN Grinding Wheel 600 Grit,1,0,visible,"Fine CBN wheel for cleaner edges and light touch-ups.","A fine-grit CBN wheel for woodturners who want a smoother finish after shaping. Best used as the finishing wheel in a two-wheel setup.",169.00,"CBN Grinding Wheels","cbn,8 inch,fine,honing",Grit,600,1,0,Diameter,8 inch,1,0
simple,ET-CBN-6-180,6 Inch CBN Grinding Wheel 180 Grit,1,0,visible,"Compact CBN wheel for 6 inch bench grinders.","A practical wheel for smaller grinder setups. Good for general sharpening, edge maintenance, and shop spaces where an 8 inch grinder is not available.",109.00,"CBN Grinding Wheels","cbn,6 inch,woodturning",Grit,180,1,0,Diameter,6 inch,1,0
simple,ET-DIA-8-400,8 Inch Diamond Wheel 400 Grit,1,0,visible,"Diamond wheel for carbide and specialty grinding tasks.","Use this diamond wheel for carbide tools and specialty shop grinding. Confirm tool material and grinder speed before purchase.",159.00,"Diamond Wheels","diamond,carbide,8 inch",Grit,400,1,0,Diameter,8 inch,1,0
simple,ET-JIG-BASIC,Basic Sharpening Jig Set,1,1,visible,"Starter jig set for repeatable gouge sharpening angles.","A practical sharpening jig set for repeatable woodturning tool angles. Pair with a CBN wheel and tool rest for a complete sharpening station.",79.00,"Sharpening Systems","jig,sharpening,starter",Material,Steel,1,0,Use,Gouges and scrapers,1,0
simple,ET-REST-ADJ,Adjustable Grinder Tool Rest,1,0,visible,"Stable adjustable rest for bench grinder sharpening.","A sturdy tool rest for repeatable grinding and better tool control. Designed for common bench grinder sharpening workflows.",59.00,"Sharpening Systems","tool rest,grinder,sharpening",Material,Steel,1,0,Use,Grinding support,1,0
simple,ET-SAND-2IN-KIT,2 Inch Sanding Disc Starter Kit,1,0,visible,"Assorted sanding discs and mandrel for finishing turned work.","A starter assortment for sanding bowls, spindles, and small turned parts. Includes common grits for progressive finishing.",34.00,"Sanding Supplies","sanding,disc,starter kit",Diameter,2 inch,1,0,Grit,Assorted,1,0
simple,ET-MANDREL-2IN,2 Inch Hook and Loop Sanding Mandrel,1,0,visible,"Flexible mandrel for 2 inch hook and loop sanding discs.","Use with compatible sanding discs for curved and contoured woodturning work.",16.00,"Sanding Supplies","mandrel,sanding,2 inch",Diameter,2 inch,1,0,Attachment,Hook and loop,1,0
simple,ET-BUSHING-KIT,Bench Grinder Arbor Bushing Kit,1,1,visible,"Adapter bushing set for common grinder arbor sizes.","A useful add-on for matching grinding wheels to common bench grinder arbor sizes. Confirm wheel and grinder dimensions before installation.",18.00,"Grinder Accessories","bushing,adapter,grinder",Sizes,"1/2 inch, 5/8 inch, 1 inch",1,0,Material,Steel,1,0
simple,ET-FLANGE-SET,Precision Grinder Flange Set,1,0,visible,"Flange set for stable wheel mounting.","A balanced flange set for improving wheel mounting stability on compatible grinders.",28.00,"Grinder Accessories","flange,grinder,wheel mounting",Material,Steel,1,0,Use,Wheel mounting,1,0
simple,ET-SAFETY-RESP,Shop Dust Respirator,1,0,visible,"Comfortable respiratory protection for sanding and turning.","A shop respirator for dust-heavy sanding and turning sessions. Always follow filter replacement and fit guidance.",42.00,"Shop Safety","safety,respirator,dust",Use,Sanding and turning,1,0,Size,Adjustable,1,0
simple,ET-KIT-CBN-STARTER,CBN Sharpening Starter Bundle,1,1,visible,"Wheel, bushing kit, and sharpening setup basics in one bundle.","A starter bundle for new woodturners setting up a reliable sharpening station. Includes a general-purpose CBN wheel, bushing kit, and setup guide.",199.00,"Starter Kits","bundle,cbn,starter,sharpening",Bundle,Wheel and accessories,1,0,Use,Starter sharpening station,1,0
